SI.NO.,Prediction ,Scored.Probability ,Class
1,1,0.000143018,1
2,1,0,1
3,1,0.31745103,1
4,1,0.017803721,1
5,1,0.017803721,1
6,1,0.215677068,1
7,1,0.017803721,1
8,1,0.017803721,1
9,1,0.017803721,1
10,1,0.017803721,1
11,1,0.017803721,1
12,1,0.017803721,1
13,1,0.017803721,1
14,1,0.017803721,1
15,1,0.017803721,1
16,1,0.017803721,1
17,1,0.017803721,1
18,1,0.017803721,1
19,1,0.017803721,1
20,1,0.017803721,1
21,1,0.017803721,1
22,1,0.033353053,1
23,1,0.017803721,1
24,1,0.033353053,1
25,1,0.017803721,1
26,1,0.017803721,1
27,1,0.017803721,1
28,1,0.017803721,1
29,1,0.048290819,1
30,1,0.017803721,1
31,1,0.017803721,1
32,1,0,1
33,1,0.249160245,1
34,1,0.005225834,1
35,1,0,1
36,1,0.016499938,1
37,1,0.166988775,1
38,1,0,1
39,1,0,1
40,1,0,1
41,1,0,1
42,1,0,1
43,1,0,1
44,1,0,1
45,1,0,1
46,1,0,1
47,1,0,1
48,1,0,1
49,1,0,1
50,1,0,1
51,1,0,1
52,1,0.034686342,1
53,1,0,1
54,1,0.002183846,1
55,1,0,1
56,1,0,1
57,1,0.008237001,1
58,1,0.005194791,1
59,1,0,1
60,1,0.000474125,1
61,1,0.103483953,1
62,1,0,1
63,1,0,1
64,1,0,1
65,1,0,1
66,0,0.746564448,1
67,1,0.01213564,1
68,0,0.793577313,1
69,0,0.96390909,1
70,0,0.993380666,1
71,0,0.841428936,1
72,0,0.683707237,1
73,0,0.840990603,1
74,0,0.869053066,1
75,0,0.704369485,1
76,0,0.672453105,1
77,0,0.766711354,1
78,0,0.99973017,1
79,0,0.661755741,1
80,0,0.999051034,1
81,0,0.666237056,1
82,0,0.976457059,1
83,0,0.928446114,1
84,0,0.646251798,1
85,1,0,1
86,0,0.638284087,1
87,1,0.217558205,1
88,1,0.003512705,1
89,0,0.532474995,1
90,0,0.679356456,1
91,1,0,1
92,1,0,1
93,1,0,1
94,1,0.025782973,1
95,1,0,1
96,1,0.020419234,1
97,1,0.02324868,1
98,1,0,1
99,1,0,1
100,1,0,1
101,1,0,1
102,1,0,1
103,1,0,1
104,1,0,1
105,1,2.16E-37,1
106,1,5.30E-37,1
107,1,2.54E-37,1
108,1,5.56E-38,1
109,1,3.59E-37,1
110,1,3.71E-37,1
111,1,1.29E-37,1
112,1,2.98E-37,1
113,1,9.12E-37,1
114,1,4.71E-37,1
115,1,2.17E-37,1
116,1,5.22E-37,1
117,1,2.66E-38,1
118,1,2.63E-37,1
119,1,8.21E-38,1
120,1,1.17E-37,1
121,1,8.73E-37,1
122,1,1.47E-37,1
123,1,1.60E-37,1
124,1,3.94E-38,1
125,1,6.07E-37,1
126,1,6.89E-37,1
127,1,7.94E-38,1
128,1,3.43E-38,1
129,1,5.63E-37,1
130,1,1.19E-37,1
131,1,2.60E-37,1
132,1,8.59E-38,1
133,1,1.30E-37,1
